"VIRTUAL_TIME","NODE_ID","EVENT_TYPE","GLOBAL_SOURCE","LOCAL_SOURCE","LOCAL_TARGET","GLOBAL_TARGET","X_COOR","Y_COOR","RADIUS","LOST","ERROR","DETAILS"
"1800","","events.TCIntervalEndEvent","","07bfe8ff-3c9f-4c3e-9828-139e91360b42","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","","",""
"1800","","events.TCIntervalEndEvent","","3ebf95d4-480c-4e98-9761-d6b567f745cc","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","","","","",""
"1800","","events.TCIntervalEndEvent","","84a25183-c629-4fd0-8fdd-dfdb87265689","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"1800","","events.HelloIntervalEndEvent","","765e579f-6011-42a1-b15b-53e48a873e39","765e579f-6011-42a1-b15b-53e48a873e39","","","","","","",""
"1800","","events.HelloIntervalEndEvent","","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","","",""
"1800","","events.HelloIntervalEndEvent","","23fd6087-1cdd-4304-a4fb-902c52eae4f5","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"1800","3ebf95d4-480c-4e98-9761-d6b567f745cc","DATA_SENT","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","0",
"1800","3ebf95d4-480c-4e98-9761-d6b567f745cc","DATA_LOSS","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","","","1","Cann't find route."
"1800","","events.TCIntervalEndEvent","","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"1800","","events.TCIntervalEndEvent","","23fd6087-1cdd-4304-a4fb-902c52eae4f5","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"1800","","events.TCIntervalEndEvent","","9a769188-48b1-4641-a83a-f9fbd73d627f","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1802","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_REACH",,"","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","0",
"1802","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","DATA_REACH",,"","","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","0",
"1802","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_SENT","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","0",
"1802","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_LOSS","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","1","Cann't find route."
"1802","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_REACH",,"","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","0",
"1802","9a769188-48b1-4641-a83a-f9fbd73d627f","DATA_SENT","9a769188-48b1-4641-a83a-f9fbd73d627f","","","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","0",
"1803","07bfe8ff-3c9f-4c3e-9828-139e91360b42","DATA_REACH",,"","","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","0",
"1803","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_SENT","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","0",
"1803","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_LOSS","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","1","Cann't find route."
"1804","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","DATA_SENT","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","0",
"1804","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","DATA_LOSS","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","1","Cann't find route."
